product_name,image,quantity,price 
Miniket Rice Premium,https://cdn.chaldal.net/_mpimage/miniket-rice-premium-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48081&q=low&v=1&m=400&w=200,5 kg,৳ 275
Nazirshail Rice Premium,https://cdn.chaldal.net/_mpimage/nazirshail-rice-premium-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48083&q=low&v=1&m=400&w=200,5 kg,৳ 288
Chinigura Rice,https://cdn.chaldal.net/_mpimage/chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48071&q=low&v=1&m=400&w=200,1 kg,৳ 99
Aathash Rice,https://cdn.chaldal.net/_mpimage/aathash-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48062&q=low&v=1&m=400&w=200,5 kg,৳ 264
Fresh Chinigura Rice,https://cdn.chaldal.net/_mpimage/fresh-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48074&q=low&v=1&m=400&w=200,1 kg,৳ 130
PRAN Chinigura Rice,https://cdn.chaldal.net/_mpimage/pran-chinigura-rice-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48086&q=low&v=1&m=400&w=200,2 kg,৳ 255
Rupchanda Chinigura Premium Aromatic Rice,https://cdn.chaldal.net/_mpimage/rupchanda-chinigura-premium-aromatic-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48092&q=low&v=1&m=400&w=200,1 kg,৳ 135
Atop Rice,https://cdn.chaldal.net/_mpimage/atop-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48064&q=low&v=1&m=400&w=200,1 kg,৳ 45
Katarivog Rice,https://cdn.chaldal.net/_mpimage/katarivog-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48075&q=low&v=1&m=400&w=200,1 kg,৳ 95
Aarong Chinigura Rice,https://cdn.chaldal.net/_mpimage/aarong-chinigura-rice-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48057&q=low&v=1&m=400&w=200,2 kg,৳ 245
Khusboo Premium Chinigura Rice,https://cdn.chaldal.net/_mpimage/khusboo-premium-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48077&q=low&v=1&m=400&w=200,1 kg,৳ 130
Khusboo Premium Kalijira Rice,https://cdn.chaldal.net/_mpimage/khusboo-premium-kalijira-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48078&q=low&v=1&m=400&w=200,1 kg,৳ 135
PRAN Nazirshail Rice,https://cdn.chaldal.net/_mpimage/pran-nazirshail-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48089&q=low&v=1&m=400&w=200,5 kg,৳ 402
Aarong Miniket Rice,https://cdn.chaldal.net/_mpimage/aarong-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48060&q=low&v=1&m=400&w=200,5 kg,৳ 340
Fortune Biryani Special Basmati Rice,https://cdn.chaldal.net/_mpimage/fortune-biryani-special-basmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48073&q=low&v=1&m=400&w=200,1 kg,৳ 306
BPM Chinigura Rice (Khud),https://cdn.chaldal.net/_mpimage/bpm-chinigura-rice-khud-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D52037&q=low&v=1&m=400&w=200,1 kg,৳ 70
Aarong Kalijira Rice,https://cdn.chaldal.net/_mpimage/aarong-kalijira-rice-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48059&q=low&v=1&m=400&w=200,2 kg,৳ 245
Chashi Aromatic Chinigura Rice,https://cdn.chaldal.net/_mpimage/chashi-aromatic-chinigura-rice-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48070&q=low&v=1&m=400&w=200,2 kg,৳ 250
Aarong Nazirshail Rice,https://cdn.chaldal.net/_mpimage/aarong-nazirshail-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48061&q=low&v=1&m=400&w=200,5 kg,৳ 430
Aarong Fresh Katarivog  Rice,https://cdn.chaldal.net/_mpimage/aarong-fresh-katarivog-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48058&q=low&v=1&m=400&w=200,5 kg,৳ 595
PRAN Chinigura Rice,https://cdn.chaldal.net/_mpimage/pran-chinigura-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48085&q=low&v=1&m=400&w=200,5 kg,৳ 600
Chashi Aromatic Chinigura Rice,https://cdn.chaldal.net/_mpimage/chashi-aromatic-chinigura-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48069&q=low&v=1&m=400&w=200,5 kg,৳ 600
BPM Kaun Rice,https://cdn.chaldal.net/_mpimage/bpm-kaun-rice-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48067&q=low&v=1&m=400&w=200,500 gm,৳ 70
Rupchanda Nazirshail Rice,https://cdn.chaldal.net/_mpimage/rupchanda-nazirshail-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D52557&q=low&v=1&m=400&w=200,5 kg,৳ 420
BPM Red Binne Rice,https://cdn.chaldal.net/_mpimage/bpm-red-binne-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D52039&q=low&v=1&m=400&w=200,1 kg,৳ 116
PRAN Miniket Rice,https://cdn.chaldal.net/_mpimage/pran-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48088&q=low&v=1&m=400&w=200,5 kg,৳ 370
Basmati Rice,https://cdn.chaldal.net/_mpimage/basmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54211&q=low&v=1&m=400&w=200,1 kg,৳ 250
Anmol Aromatic Chinigura Rice,https://cdn.chaldal.net/_mpimage/anmol-aromatic-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D37815&q=low&v=1&m=400&w=200,1 kg,৳ 125
ACI Pure Miniket Rice,https://cdn.chaldal.net/_mpimage/aci-pure-miniket-rice-10-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48063&q=low&v=1&m=400&w=200,10 kg,৳ 700
Purnava Low G.I. Rice,https://cdn.chaldal.net/_mpimage/purnava-low-gi-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48090&q=low&v=1&m=400&w=200,5 kg,৳ 552
Mehran Extra Long Basmati  Rice,https://cdn.chaldal.net/_mpimage/mehran-extra-long-basmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D42298&q=low&v=1&m=400&w=200,1 kg,৳ 377
ACI Pure Nazirshail Rice,https://cdn.chaldal.net/_mpimage/aci-pure-nazirshail-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54599&q=low&v=1&m=400&w=200,5 kg,৳ 450
Khusboo Premium Bashmati Rice,https://cdn.chaldal.net/_mpimage/khusboo-premium-bashmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48076&q=low&v=1&m=400&w=200,1 kg,৳ 350
Khusboo Premium Nazirshail Rice,https://cdn.chaldal.net/_mpimage/khusboo-premium-nazirshail-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48080&q=low&v=1&m=400&w=200,5 kg,৳ 445
Kohinoor Extra Long Basmati Rice,https://cdn.chaldal.net/_mpimage/kohinoor-extra-long-basmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D42300&q=low&v=1&m=400&w=200,1 kg,৳ 350
ACI Pure Miniket Rice,https://cdn.chaldal.net/_mpimage/aci-pure-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54589&q=low&v=1&m=400&w=200,5 kg,৳ 360
Ispahani Agomoni Kalijira Rice,https://cdn.chaldal.net/_mpimage/ispahani-agomoni-kalijira-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D53011&q=best&v=1&m=400&w=200,1 kg,৳ 140
Teer Nazirshile Rice,https://cdn.chaldal.net/_mpimage/teer-nazirshile-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54024&q=low&v=1&m=400&w=200,5 kg,৳ 420
Ispahani Agomoni Nazirshail Rice,https://cdn.chaldal.net/_mpimage/ispahani-agomoni-nazirshail-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D53008&q=best&v=1&m=400&w=200,5 kg,৳ 410
ACI Aroma Pure Basmati Rice,https://cdn.chaldal.net/_mpimage/aci-aroma-pure-basmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D53400&q=low&v=1&m=400&w=200,1 kg,৳ 325
Shaad Chinigura Aromatic Rice,https://cdn.chaldal.net/_mpimage/shaad-chinigura-aromatic-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D50149&q=low&v=1&m=400&w=200,1 kg,৳ 130
Khusboo Premium Miniket Rice,https://cdn.chaldal.net/_mpimage/khusboo-premium-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48079&q=low&v=1&m=400&w=200,5 kg,৳ 350
BPM Amon Rice,https://cdn.chaldal.net/_mpimage/bpm-amon-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D52040&q=low&v=1&m=400&w=200,1 kg,৳ 90
Empire Basmati Rice,https://cdn.chaldal.net/_mpimage/empire-basmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D51779&q=low&v=1&m=400&w=200,1 kg,৳ 290
Ispahani Agomoni Banglamoti Rice,https://cdn.chaldal.net/_mpimage/ispahani-agomoni-banglamoti-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D53015&q=best&v=1&m=400&w=200,5 kg,৳ 375
Ispahani Agomoni Chinigura Rice,https://cdn.chaldal.net/_mpimage/ispahani-agomoni-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D53012&q=best&v=1&m=400&w=200,1 kg,৳ 135
ACI Nutrilife Low GI Rice,https://cdn.chaldal.net/_mpimage/aci-nutrilife-low-gi-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54595&q=low&v=1&m=400&w=200,1 kg,৳ 130
Purnava Low G.I. Rice,https://cdn.chaldal.net/_mpimage/purnava-low-gi-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D52235&q=low&v=1&m=400&w=200,1 kg,৳ 120
Rupchanda Miniket Rice,https://cdn.chaldal.net/_mpimage/rupchanda-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D52559&q=best&v=1&m=400&w=200,5 kg,৳ 370
Pusti Chinigura Rice,https://cdn.chaldal.net/_mpimage/pusti-chinigura-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D57735&q=low&v=1&m=400&w=200,1 kg,৳ 135
